Код суда,"""ВЯСНА""",адрес,телефоны,месторасположение,ссылка
06-018-03-01,Слаўгарад,"Могилевская область, г. Славгород, 1-й пер. Суворова, 2",375 (2246) 7-14-46,"53.439347, 30.997662",http://court.gov.by/ru/court_apply/rai/mogilev/c09c0bbc51639c6d.html
06-019-03-01,,"Могилевская область, г.п. Хотимск, ул. Ленинская, 5а",375 (2247) 7-94-44,"53.409364, 32.581186",http://court.gov.by/court_apply/rai/Mogilev/cc81b5817c322bb3.html
06-020-03-01,,"Могилевская область, г. Чаусы, ул. Фрунзе, 21а",375 (2242) 7-86-13,"53.806441, 30.968009",http://court.gov.by/ru/court_apply/rai/mogilev/ff8dd08b996cdbfa.html
06-021-03-01,,"Могилевская область, г. Чериков, ул. Рокоссовского, 1",375 (2243) 7-23-21,"53.570118, 31.379554",http://court.gov.by/ru/court_apply/rai/mogilev/e3103fef252ce6d6.html
06-022-03-01,"Шклоў, раённы","Могилевская область, г. Шклов, ул. Фабричная, 2а",375 (2239) 9-54-35,"54.210534, 30.295162",http://court.gov.by/ru/court_apply/rai/mogilev/b3e8bfab707c94c9.html
07-000-03-01,Менск,"г. Минск, ул.Дунина-Марцинкевича, 1",375 (17) 308-90-00,"53.907100, 27.482402",http://www.court.gov.by/ru/minskij/gorodskoj/sud/
07-000-03-02,,"г.Минск, ул.Академическая, 15/1",375 (17) 284-05-00,"53.917824, 27.601105",http://court.gov.by/court_apply/eco/
07-001-03-01,"Менск, Заводзкі","г. Минск, Партизанский пр., 75А",375 (17) 330-51-02,"53.877168, 27.623141",http://www.court.gov.by/ru/court_apply/rai/minsk/f8ce7b748383744a.html
07-002-03-01,"Менск, Ленінскі","г. Минск, ул. Семашко, д. 33",375 (17) 250-63-67; 375 (17) 361-57-08,"53.856806, 27.492885",http://court.gov.by/ru/court_apply/rai/minsk/f7b4b70b554b1c81.html
07-003-03-01,"Менск, Маскоўскі","г. Минск, пр. газеты «Правда», д. 27",375 (17) 277-02-15; 375 (17) 277-02-16,"53.862828, 27.481432",http://court.gov.by/ru/court_apply/rai/minsk/bf63579b2ad61fcd.html
07-004-03-01,"Менск, Кастрычніцкі","г. Минск, ул. Семашко, 33",375 (17) 378-63-55,"53.856806, 27.492885",https://okt.minsk.gov.by/zakon-i-poryadok/sud
07-005-03-01,"Менск, Партызанскі","г. Минск, ул. Семашко, д. 33",375 (17) 358-64-25; 375 (17) 378-07-76,"53.856806, 27.492885",http://court.gov.by/ru/court_apply/rai/minsk/aeb74c07c8e1d107.html
07-006-03-01,"Менск, Першамайскі","г. Минск, ул. Толбухина, 9",375 (17) 285-78-11,"53.927321, 27.611400",http://court.gov.by/ru/court_apply/rai/minsk/dab70f85994a1818.html
07-007-03-01,"Менск, Савецкі","г. Минск, ул. Логойский тракт, д. 3",8 (017) 272 83 40,"53.940817, 27.606388",https://sov.minsk.gov.by/zakonnost-i-pravoporyadok/sudebnaya-vlast
07-008-03-01,"Менск, Фрунзенскі","улица Дунина-Марцинкевича, 1к2",375 17 397-69-37,"53.907058, 27.482294",https://www.fr.gov.by/administration/law/court/
07-009-03-01,"Менск, Цэнтральны","г. Минск, ул. Кирова, 21",351 89 67,"53.897493, 27.559747",https://centr.minsk.gov.by/sfery-deyatelnosti/zakonnost-i-pravoporyadok/pravookhranitelnye-organy/sud-tsentralnogo-rajona-g-minska
06-002-03-01,"Магілёў, Ленінскі",,,,
02-002-03-02,"Віцебск, Кастрычніцкі",,,,
04-017-03-01,"Смаргонь, раённы",,,,
04-018-03-01,"Шчучын, раённы",,,,
04-010-03-01,"Ліда, раённы",,,,
02-015-03-01,"Полацак, раённы",,,,
06-002-03-02,"Магілёў, Кастрычніцкі",,,,
01-005-03-01,Бяроза,,,,
02-013-03-01,"Міёры, раённы",,,,
05-016-03-01,Нясьвіж,,,,
04-012-03-01,"Наваградак, раённы",,,,
04-016-03-01,Слонім,,,,
04-011-03-01,Масты,,,,
04-009-03-01,Карэлічы,,,,
01-001-03-01,"Берасьце, раённы",,,,
05-011-03-01,"Крупкі, раённы",,,,
04-015-03-01,"Сьвіслач, раённы",,,,
